1948年5月28日,台北新店溪橋火車大火,64死76傷,25.026936,121.486829
1995年2月15日,台中衛爾康餐廳大火,64死11傷,24.148973,120.672183
1979年7月13日,台北撫遠街樓房爆炸大火,33死20傷,25.066177,121.566691
1993年1月19日,台北論情西餐廳大火,33死20傷,25.061174,121.533258
1966年1月19日,台北新生大樓大火,32死24傷,25.042195,121.508768
2014年7月31日,高雄前鎮區地下丙烯氣爆大火,30死309傷,22.612684,120.319725
1990年1月27日,桃園正發綜合大樓大火,28死,24.996608,121.307171
1985年4月1日,台南帝王飯店縱火案,26死10傷,22.992417,120.195002
1992年5月15日,台北健康幼稚園遊覽車大火,23死8傷,24.902760,121.191292
1989年5月16日,高雄龍山大廈縱火案,23死
1993年5月12日,台北卡爾登理容院縱火案,22死7傷,25.055550,121.527830
1992年5月11日,台北自強保齡球館大火,20死,25.005447,121.504537
1984年5月28日,台北時代大飯店大火,19死49傷,25.060331,121.527232
1991年1月6日,台北天龍三溫暖大火,18死7傷,25.052370,121.514120
1996年2月17日,台中夏威夷三溫暖大火,17死,24.157941,120.691120
1986年8月11日,高雄大仁宮廢船爆炸大火,16死107傷,22.552242,120.332746
1990年6月16日,高雄錢櫃KTV大火,16死2傷
1992年11月21日,台北神話世界KTV縱火案,16死2傷,25.064007,121.519782
1990年6月16日,高雄六層高商住大廈縱火案,16死
1992年10月20日,高雄花旗飯店大火,15死16傷,22.637514,120.300031
1990年4月3日,桃園五福商業大樓縱火案,15死10傷,25.005832,121.294676
2003年8月31日,新北大囍社區大火,13死71傷,25.094643,121.472625
2012年10月23日,台南新營醫院大火,13死48傷,23.309229,120.313539
1990年8月31日,桃園電子廠爆炸大火,13死40傷
1992年9月23日,新竹縣今夜卡拉OK大火,13死3傷
1994年10月25日,台北巨星鑽KTV大火,13死1傷,25.061599,121.532965
1983年2月1日,台北開封街木樓大火,12死24傷,25.046299,121.508051
1984年2月29日,馬公馬公輪爆炸大火,11死12傷,23.565360,119.575820
1995年10月31日,嘉義嘉年華大樓大火,11死8傷,23.478922,120.441256
1989年6月22日,花蓮花旗飯店大火,11死8傷,花蓮市中正路405號
1956年6月6日,台中信東塑膠廠大火,11死3傷
1961年4月5日,高雄光隆輪爆炸大火,10死43傷
1993年4月10日,台北縣黑珍珠卡拉OK大火,10死7傷
1990年4月12日,台中縣鋐光公司爆炸事故,40死29傷,24.347241,120.654445
2014年7月31日,高雄前鎮區地下丙烯氣爆大火,30死309傷,22.615522,120.324985
1953年4月6日,台北南勢角聯勤總部爆炸案,25死170傷
1997年9月13日,高雄前鎮區鎮興橋瓦斯氣爆大火,11死17傷,22.589985,120.314061
1959年,八七水災,1075死942傷
2009年,八八水災,699死
1963年,強烈颱風葛樂禮,363死450傷
1961年,強烈颱風波密拉,293死1847傷
2001年,中度颱風桃芝,214死
1960年,強烈颱風雪莉,210死430傷
2000年,中度颱風象神,172死136傷
1952年,強烈颱風貝絲,153死644傷
1970年,輕度颱風芙安,143死55傷
1987年,中度颱風傑拉爾,127死
1962年,強烈颱風歐珀,107死1400傷
1969年,強烈颱風愛爾西,105死371傷
1969年,輕度颱風芙勞西,105死41傷
2001年,中度颱風納莉,104死208傷
1986年,中度颱風韋恩,87死422傷
1967年,強烈颱風解拉,82死203傷
1951年,中度颱風白蒂,81死79傷
1996年,強烈颱風賀伯,73死463傷
1951年,台灣中南部水災,73死
1977年,中度颱風賽洛瑪,72死306傷
1973年,強烈颱風娜拉,68死85傷
1965年,強烈颱風黛娜,62死219傷
1957年,強烈颱風佛琴尼,62死40傷
1968年,強烈颱風艾琳,60死27傷
1956年,中度颱風黛納,59死276傷
1974年,輕度颱風范迪,54死40傷
1971年,強烈颱風娜定,52死118傷
1981年,輕度颱風梅里,48死9傷
1953年,強烈颱風妮娜,48死6傷
1997年,強烈颱風溫妮,45死84傷
2004年,中度颱風敏督利,45死
1990年,中度颱風奧菲莉亞,44死
1958年,強烈颱風溫妮,43死78傷
1987年,強烈颱風林茵,42死
1971年,強烈颱風貝絲,39死208傷
2010年,強烈颱風梅姬,38死96傷
1989年,中度颱風莎拉,37死
1974年,輕度颱風芸蒂,36死
1953年,強烈颱風克蒂,35死186傷
2004年,中度颱風艾利,33死
1965年,強烈颱風瑪麗,31死493傷
1949年,輕度颱風伊瑪,31死3傷
1994年,中度颱風添姆,30死67傷
1959年,中度颱風畢莉,30死50傷
1990年,強烈颱風揚希,30死15傷
2001年,中度颱風奇比,30死
1975年,強烈颱風妮娜,29死140傷
1959年,強烈颱風瓊安,27死371傷
1972年,強烈颱風貝蒂,27死17傷
2008年,中度颱風卡玫基,26死8傷
1968年,強烈颱風范迪,25死10傷
1967年,強烈颱風葛萊拉,22死27傷
1956年,中度颱風芙瑞達,21死52傷
2008年,強烈颱風辛樂克,21死20傷
1983年,強烈颱風艾倫,21死
1975年,中度颱風貝蒂,20死47傷
1994年,強烈颱風道格,19死42傷
1962年,中度颱風凱蒂,18死43傷
1966年,中度颱風裘蒂,18死14傷
1991年,強烈颱風露芺,18死
1956年,強烈颱風萬達,17死15傷
1961年,中度颱風貝蒂,16死210傷
1963年,強烈颱風范迪,15死16傷
2012年,中度颱風蘇拉,15死
2000年,強烈颱風碧利斯,14死80傷
1968年,強烈颱風娜定,14死8傷
1961年,中度颱風裘恩,14死
1962年,強烈颱風愛美,13死89傷
1986年,中度颱風艾貝,13死
1982年,強烈颱風安迪,13死
1976年,強烈颱風畢莉,12死24傷
1959年,強烈颱風芙瑞達,12死5傷
2005年,強烈颱風海棠,12死
2009年,強烈颱風芭瑪,12死
1969年,強烈颱風衛歐拉,11死63傷
1977年,強烈颱風維娜,11死14傷
1967年,強烈颱風愛爾西,10死30傷
2009年8月9日,高雄小林村滅村事件,491死,23.165252,120.641439
1961年6月4日,高雄半屏山崩塌事件,45死26傷,22.696112,120.312996
1974年9月28日,基隆八堵交流道山崩事件,36死,25.114585,121.728109
1964年10月9日,台北三金硫磺礦場山崩事件,25死,25.189686,121.613246
1935年4月21日,苗栗縣新竹台中7.1級地震,3276死12053傷
1999年9月21日,南投縣集集7.3級大地震,2415死29失蹤11305傷
1906年3月17日,嘉義縣梅山7.1級地震,1258死2385傷
1848年12月3日,彰化縣彰化7級地震,1030死
1792年8月9日,嘉義縣及彰化縣嘉義彰化7.1級地震,617死
1862年6月7日,台南縣、嘉義縣與彰化縣台南彰化嘉義6.5級地震,500死
1845年3月4日,嘉義縣、彰化縣與台中縣嘉義彰化台中6級地震,381死
1736年1月30日,台南縣及嘉義縣台南嘉義7級地震,372死
1941年12月17日,嘉義縣中埔7.1級地震,360死1失蹤729傷
1867年12月18日,基隆海嘯,數百死
1904年11月6日,雲林縣斗六6.1級地震,145死
1839年6月27日,嘉義縣嘉義6.5級地震,117死
1815年10月13日,嘉義縣嘉義7.7級地震,113死
1964年1月18日,台南縣白河6.3級地震,106死650傷
1946年12月5日,台南縣新化6.1級地震,74死474傷
1951年10月22日,花蓮縣近海7.3級地震,68死
1897年3月15日,宜蘭縣宜蘭地震,56死
1917年1月5日,南投縣南投6.2級地震,54死
1935年7月17日,苗栗縣後龍溪6.2級地震,44死
1811年3月17日,嘉義縣嘉義7.5級地震,21死
1951年11月25日,花蓮縣近海6.1及7.3級地震,17死
1959年8月15日,屏東縣恆春7.1級地震,16死68傷
1916年8月28日,南投縣濁水溪6.8級地震,16死
1986年11月15日,花蓮縣近海6.8級地震,15死62傷
1906年4月14日,台南縣鹽水6.6級地震,15死
1957年2月24日,花蓮縣花蓮7.3級地震,11死
1927年8月25日,台南縣台南新營6.5級地震,11死
1881年2月18日,台北縣台北6級地震,11死
1882年12月9日,台灣7.5級地震,10死
1983年8月24日,台中豐原高中禮堂倒塌事件,26死86傷,24.255852,120.741612
1918年,流感疫潮,25394死
1919年,流感疫潮,19244死
1895年,日軍疫潮,4642死
1955年,小兒麻痺症疫潮,2671死
1946年,霍亂疫潮,2210死
1895年,霍亂疫潮,1800死
1946年,天花疫潮,1700死
1948年,狂犬病疫潮,782死
1884年,法軍疫潮,430死
1957年,白喉疫潮,220死
1982年,小兒麻痺症疫潮,99死
2003年,非典型肺炎疫潮,81死
1998年,EV71腸病毒疫潮,78死
1964年,腦炎疫潮,72死
1968年,腦炎疫潮,53死
1969年,腦炎疫潮,39死
2009年,H1N1流感疫潮,35死
1962年,霍亂疫潮,22死
1962年,白喉疫潮,21死
1961年,腦炎疫潮,19死
2002年,登革熱疫潮,13死
1961年7月9日,嘉義台鐵特快車與嘉義客車相撞事故,48死29傷
1986年10月8日,台中縣遊覽車谷關墜河事故,42死3傷
1976年4月21日,彰化縣觀光號列車與彰化客車相撞事故,41死41傷
1981年3月8日,新竹自強號列車與砂石貨車相撞事故,31死130傷
1991年11月15日,苗栗縣自強號列車與莒光號列車邊撞事故,30死112傷
1976年5月30日,苗栗縣台鐵快車與平快車談文相撞事故,29死141傷
1965年9月,台北客車陽明山墜山事故,29死
1969年3月11日,台南台鐵飛快車與士兵卡車相撞事故,27死15傷
2010年10月21日,宜蘭蘇花公路遊覽車事故,26死
1990年12月20日,高雄自強號列車與遊覽車相撞事故,25死34傷
2006年12月3日,台南縣梅嶺遊覽車事故,22死24傷
1957年12月9日,桃園縱貫線列車出軌翻覆事故,18死116傷
2003年3月1日,嘉義阿里山小火車翻覆事故,17死205傷
1980年3月15日,台中遊覽車梨山墜溪事故,17死15傷
1997年11月19日,桃園統聯客運大車禍,16死7傷
1984年4月8日,苗栗縣中山高速公路連環車禍,13死22傷
2012年12月9日,新竹縣新竹尖石遊覽車事故,13死10傷
1971年5月11日,彰化縣台鐵貨櫃列車與客運列車邊撞事故,12死40傷
1970年2月10日,新竹觀光號列車追撞平快車事故,10死47傷
1943年3月19日,彭佳嶼高千穗丸被擊沉事故,844死
1879年2月14日,北礁新台灣號汽船觸礁沉沒事故,270死
1908年4月30日,馬公松島巡洋艦爆炸沉沒事故,207死163生還
1898年8月29日,台北淡水中式帆船遇颱風沉沒事故,170死6生還
1797年2月9日,姑婆嶼水師提標右營萬字6號哨船遭風觸礁沉沒事故,147死4生還
1771年6月13日,澎湖水師右營寧字1號遭風沉沒事故,131死19生還
1892年10月10日,姑婆嶼布哈拉號遭風觸礁沉沒事故,130死23生還
1796年2月26日,澎湖外海國字5號哨船遭風沉沒事故,128死
1790年1月8日,東吉嶼台協安平水師平字1號哨船遭風沉沒事故,123死18生還
1765年9月23日,西嶼商船遭風沉沒事故,120死
1810年6月25日,台灣海峽杜榮華雙桅商船沉沒事故,105死
1956年,西吉嶼澎湖客輪觸礁沉沒事故,101死
1803年6月24日,燈火澳外海澄字1號哨船沉沒事故,100死
1792年8月15日,台南水提左營國字3號哨船鹿耳門沉沒事故,92死
1799年9月,台灣海峽沉船事故,59死
1990年8月25日,日月潭興業號遊艇沉沒事故,57死
1814年10月3日,東吉嶼萬鑑商船遭風沉沒事故,53死
1953年4月13日,馬公聯盛輪沉沒事故,48死14生還
1792年8月15日,台南金瑞珍商船鹿耳門沉沒事故,44死
1898年11月17日,氣船沉沒事故,40死
1736年11月28日,西嶼台協右營澄字6號趕繪船遭風觸礁沉沒事故,39死77生還
1977年4月18日,蘇澳TY16號拖船沉沒事故,32死22傷
1961年6月4日,高雄天祥輪沉沒事故,30死
1833年7月2日,台灣福建省東椗商船沉沒事故,30死
1902年12月21日,沉船事故,28死
1786年6月9日,台灣福建省北椗外海杜永福商船沉沒事故,26死
1973年9月3日,高雄高中六號沉沒事故,25死46傷
1962年,台南龍舟賽翻船事故,22死
1761年7月29日,台灣海峽澎湖水師左營戰船遭風沉沒事故,22死
1757年12月,澎湖福建水師綏字13號哨船遭風沉沒事故,22死
2000年2月28日,花蓮外海花蓮一號沉沒事故,21死
1990年8月13日,基隆閩平漁5540號漁船被撞沉事故,21死
1790年5月24日,澎湖水道金和隆商船遭風沉沒事故,20死
1960年,新竹頭前溪口渡船翻覆事故,19死
2005年2月10日,蘇澳外海瑞太八號沉沒事故,18死
1991年10月,台灣海峽東龍號貨船沉沒事故,18死
1801年10月11日,澎湖金門鎮標右營管駕固字6號哨船遭風觸礁沉沒事故,18死
1792年9月17日,澎湖水道澎湖右營綏字18號哨船遭風沉沒事故,18死
1899年7月27日,駁船沉沒事故,16死2生還
1888年9月8日,北礁威定號汽船觸礁沉沒事故,12死
1824年7月24日,東吉嶼水師提標前營年字3號哨船遭風沉沒事故,10死
2002年5月25日,澎湖中華航空611號班機空難,225死
1998年2月16日,臺灣桃園國際機場中華航空676號班機空難,202死
1981年8月22日,苗栗縣遠東航空103號班機空難,110死
2000年10月31日,臺灣桃園國際機場新加坡航空006號班機空難,83死71傷
1964年6月20日,台中民航公司106號班機空難,57死
1989年10月26日,花蓮縣中華航空204號班機空難,54死
2014年7月23日,澎湖縣復興航空222號班機空難,48死15傷
1969年2月24日,台南縣遠東航空104號班機空難,36死
1975年7月31日,台北松山機場遠東航空134號班機空難,27死48傷
1971年11月20日,澎湖中華航空825號班機空難,25死
1969年1月2日,屏東縣中華航空227號班機空難,24死
1968年2月16日,台北縣民航公司10號班機空難,21死42傷
1960年,泰國空軍飛機台灣撞山事故,18死
1997年8月10日,馬祖國華航空7601號班機空難,16死
1970年8月12日,台北松山機場中華航空206號班機空難,14死17傷
1986年2月16日,澎湖縣中華航空2265號班機空難,13死
1974年,澎湖台灣空軍P-2V戰機墜海事故,12死
1947年2月,台灣二二八事件,不等
1949年,澎湖七一三事件,300人失蹤
1871年10月,屏東縣八瑤灣事件,54死
1985年4月1日,台南帝王飯店縱火案,26死10傷
1986年,林來福犯罪集團殺人案,25死
1989年5月16日,高雄龍山大廈縱火案,23死
1993年5月12日,台北卡爾登理容院縱火案,22死7傷
1992年11月21日,台北神話世界KTV縱火案,16死2傷
1990年6月16日,高雄六層高商住大廈縱火案,16死
1990年4月3日,桃園五福商業大樓縱火案,15死10傷
1982年,吳新華強盜集團殺人案,13死
1867年3月12日,墾丁羅發號事件,13死
1996年11月21日,桃園縣長官邸槍殺案,8死1傷
1998年7月27日,新竹夜歸人PUB縱火案,8死
1990年,台中、南投縣吳忠財姦殺案,8死
1989年9月7日,桃園鳳麒茶藝館縱火案,8死
1962年1月27日,台北勵行中學槍殺案,7死3傷
1988年,管鐘演殺人案,7死
1985年,陳高連葉毒殺小童案,7死
1977年,徐東志殺人案,7死
2003年8月26日,苗栗縣王中興推偷渡者落海案,6死
1985年,陳瑞欽殺人案,6死
1988年,中台灣黃鴻寓殺人案,6死
1988年,台北計程車姦劫殺人案,6死
2004年6月16日,基隆女人心卡拉OK縱火案,5死8傷
2006年9月8日,花蓮縣五子命案,5死
1997年4月,台北縣白曉燕命案,5死
1988年6月22日,基隆五福旅社劫殺案,5死
1986年,禹建忠劫殺案,5死
1983年,林宗誠強盜集團殺人案,5死
1956年12月12日,桃園縣八德鄉滅門血案,5死
1984年7月10日,台北縣煤山煤礦大火,101死
1984年12月5日,台北縣海山煤礦一坑爆炸事故,93死
1984年6月20日,台北縣海山煤礦爆炸事故,74死
1942年,基隆七星礦坑爆炸事故,49死
1971年12月1日,基隆七星礦坑爆炸事故,41死7傷
1980年3月21日,台北縣永安煤礦滲水事故,34死
1969年7月7日,台北瑞三煤礦爆炸事故,29死52傷
1964年1月27日,台北縣成福煤礦爆炸崩塌事故,27死
1958年2月21日,台北縣啟益煤礦纜車墜坑事故,18死21傷
1982年3月25日,台北福田煤礦爆炸事故,13死33傷
1981年2月9日,台北縣青桐煤礦爆炸事故,11死4傷
